currency,net_type,address,secondary_address,response_msg
NEO,NEO,NgYAFje6QqRQnoYBQFBxgJzAcz2BuyGDDc,,Success
NEWT,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
NFT,Unknown,,,No valid network found
NIL,NIL,nillion15pqne68cph407znpeuzjmncsp7k4q5qkwe2xpf,1008712663,Success
NMR,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
NOM,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
NXPC,AVAX,0xf826838a58343c518456fb85c177b8b731715497,,Success
OAS,OAS,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
OBSR,Unknown,,,No valid network found
OBT,Unknown,,,No valid network found
OGN,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
OM,OM,mantra1v4zw2gga6jjsy4njnj472c0nxaep0srz65fmqa,1008712663,Success
ONDO,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
ONG,Unknown,,,No valid network found
ONT,ONT,AKf6byRMjr4S5tG1LeZmezgE9yVCxuPVmP,,Success
OP,Unknown,,,No valid network found
OPEN,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
ORBS,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
ORCA,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
ORDER,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
OSMO,OSMO,osmo12epmgtyju2vn2j02u9n92a4tt9q7yrcd7fnekx,1008712663,Success
OXT,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
PARTI,Unknown,,,No valid network found
PAXG,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
PCI,PCI,PCI013BB7A410716A7DD7923D0FFC0F2319769263AA72400F7EE6,1008712663,Success
PEAQ,PEAQ,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
PENDLE,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
PENGU,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
PEPE,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
PIEVERSE,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
PLUME,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
