currency,net_type,address,secondary_address,response_msg
CBK,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
CELO,CELO,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
CELR,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
CFX,CFX,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
CHR,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
CHZ,CHZ,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
CHZ,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
CKB,CKB,ckb1qyqf9h7nucs6lhsg2ew7hdsayvz2v4fqef5qhvzpu7,,Success
COMP,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
COOKIE,Unknown,,,No valid network found
CORE,CORE,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
COS,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
COTI,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
COW,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
CPOOL,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
CRO,CRO,cro1kw5at3upmep67xas7azsmmenzhacn59pzmq9l0,1008712663,Success
CRTS,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
CRV,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
CSPR,CSPR,0198d8ab4dfbf57f49fdb3666b81868d465b8c8bc9d3af676c689cdf6338683b9e,,Success
CTC,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
CTK,CTK,shentu1kpgetlkl5gm9vwerufs4t2vg7j5f0styr6ndq4,1008712663,Success
CTSI,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
CUDIS,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
CVC,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
CYBER,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
D,Unknown,,,No valid network found
DAO,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
DBR,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
DEEP,Unknown,,,No valid network found
DEXE,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
DKA,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
DOGE,DOGE,DAjzvjzRhHKdVCcp5HQh7KCoJog5E9Fw7Y,,Success
DOOD,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
DOT,DOT,15g77BkZPBXErSFZMXgnYrawjMNfnMB31MCWXfbJos33NkEw,,Success
