currency,chain,address,tag,selected
SHIB,SHIBK-OKTC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
SKL,SKL-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
SKY,SKY-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
SLP,SLP-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
SNT,SNT-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
SNX,SNX-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
SOL,SOL-X Layer,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
SOL,SOL-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
SONIC,SONIC-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
SOPH,SOPH-Sophon,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
SPACE,SPACE-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
SPK,SPK-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
SPURS,SPURS-Chiliz Chain,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
SSV,SSV-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
STETH,STETH-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
STORJ,STORJ-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
STRK,STRK-Starknet,0x006bb2dab54472f4900b84a593cfcd54aa20d65076b5bbcf0fdad96770cfcf65,,True
STX,STX-l-Stacks,SP1C3KMXENTGR517DFWRC3X4AKN4ESS5YJDEY4E97,,True
SUI,SUI-SUI,0xdba2b84d75a273e474df17958c7e7ca452b91e5b4f88a8a4e6d2098dc03d4638,,True
SUI,SUI-SUI,0xbf3d6c5082575be423133109a7b1da5e6be0eff72bc261f056670f32357c7efa,,False
SUSHI,SUSHI-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
SUSHI,SUSHIK-OKTC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
SWEAT,SWEAT-NEAR,615a5cbc3e4c07845cd8113c3af2f88ce62550c8576ff09174717802278a07f9,,True
SWFTC,SWFTC-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
T,T-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
THETA,THETA-Theta,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
TIA,TIA-Celestia,celestia1wl3pputv5mnv9uzlw0ghanec8h7vt20h5phn24,,True
TNSR,TNSR-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
TON,TON-TON,UQA_V1k8mnma7VN_6Zwa6PXpdfWCfk2v6keWyq5aB4tfGnJs,,True
TOSHI,TOSHI-Base,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
TRA,TRA-Chiliz 2.0 Chain,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
TRB,TRB-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
TRUMP,TRUMP-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
TRX,TRX-TRC20,TLWk6qXHptQqXF1gUJTh8EwdzGC9Y4nRi2,,True
TRX,TRX-TRC20,TYVXkFUTyc2SLQmVsTnDyCjx3mHQuteABk,,False
TRX,TRXK-OKTC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
TURBO,TURBO-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
UMA,UMA-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
UNI,UNI-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
UNI,UNIK-OKTC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USD1,USD1-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USDC,USDC-X Layer,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USDC,USDC-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USDC,USDC-Aptos,0x95fcd8030d321ed10d65dfb9632e7d67fa7f635d5e8ebcb852a3a791b8954424,,True
USDC,USDC-Aptos,0xfa6e989cd8dac739e68de80bd9364d3753dad4fc84d21e1e67ff72c0d35ec1be,,False
USDC,USDC-Arbitrum One,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USDC,USDC-Avalanche C-Chain,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USDC,USDC-Base,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USDC,USDC-Optimism,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USDC,USDC-Polygon,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USDC,USDC-Polygon (USDC.e),0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USDC,USDC-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
USDC,USDC-SUI,0xdba2b84d75a273e474df17958c7e7ca452b91e5b4f88a8a4e6d2098dc03d4638,,True
USDC,USDC-SUI,0xbf3d6c5082575be423133109a7b1da5e6be0eff72bc261f056670f32357c7efa,,False
USDC,USDC-OKTC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USDG,USDG-X Layer,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USDG,USDG-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USDG,USDG-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
USDT,USDT-X Layer (USDT0),0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USDT,USDT-TRC20,TLWk6qXHptQqXF1gUJTh8EwdzGC9Y4nRi2,,True
USDT,USDT-TRC20,TYVXkFUTyc2SLQmVsTnDyCjx3mHQuteABk,,False
USDT,USDT-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USDT,USDT-X Layer,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USDT,USDT-Aptos,0x95fcd8030d321ed10d65dfb9632e7d67fa7f635d5e8ebcb852a3a791b8954424,,True
USDT,USDT-Aptos,0xfa6e989cd8dac739e68de80bd9364d3753dad4fc84d21e1e67ff72c0d35ec1be,,False
USDT,USDT-Arbitrum One,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USDT,USDT-Avalanche C-Chain,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USDT,USDT-BERACHAIN (USDT0),0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USDT,USDT-Optimism,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USDT,USDT-Optimism (USDT0),0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USDT,USDT-Plasma,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USDT,USDT-Polygon,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USDT,USDT-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
USDT,USDT-TON,UQA_V1k8mnma7VN_6Zwa6PXpdfWCfk2v6keWyq5aB4tfGnJs,,True
USDT,USDT-Unichain (USDT0),0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
USDT,USDT-OKTC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
UXLINK,UXLINK-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
VELO,VELO-Stellar Lumens,GDFPCR2JQBBVPA3REJMR6TEPDLICUE5JJHLN7M3QDVLUHE7WBY6S54W2,6119940,True
VELODROME,VELODROME-Optimism (V2),0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
VINE,VINE-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
VIRTUAL,VIRTUAL-Base,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
W,W-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
WAXP,WAXP-Wax,okxwaxwltxeb,,True
WCT,WCT-Optimism,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
WET,WET-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
WIF,WIF-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
WIN,WIN-TRC20,TLWk6qXHptQqXF1gUJTh8EwdzGC9Y4nRi2,,True
WIN,WIN-TRC20,TYVXkFUTyc2SLQmVsTnDyCjx3mHQuteABk,,False
WLD,WLD-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
WLD,WLD-Optimism,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
WLFI,WLFI-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
WLFI,WLFI-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
WOO,WOO-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
XAUT,XAUT-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
XCH,XCH-Chia,xch192h4qy6p2qyysenvjyrqg78cwrn8a7vxt08adw44k3kzrh9zyg8qntkekq,,True
XLM,XLM-Stellar Lumens,GDFPCR2JQBBVPA3REJMR6TEPDLICUE5JJHLN7M3QDVLUHE7WBY6S54W2,6119940,True
XPL,XPL-Plasma,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
XRP,XRP-Ripple,rBuZfn1m4tA6znziHsRp9AyC1M3qg6rgbF,6466650,True
XRP,XRP-Ripple,rBuZfn1m4tA6znziHsRp9AyC1M3qg6rgbF,6466649,False
XRP,XRPK-OKTC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
XTZ,XTZ-Tezos,tz1eoVe9x2rAX1U87wcVMPXtXKUxVdXrnUDN,,True
YB,YB-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
YFI,YFI-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
YGG,YGG-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ZBCN,ZBCN-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
ZEC,ZEC-Zcash,t3hCzmPpLEzDcusKvnvKkLzwoxXd8iXAeDC,,True
ZEN,ZEN-Base,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ZENT,ZENT-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ZETA,ZETA-ZetaChain,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ZEUS,ZEUS-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
ZIL,ZIL-Zilliqa,zil18lznk7v6rcyd4amnjp7f58vvpg7w7sst64m953,,True
ZK,ZK-zkSync Era,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ZKJ,ZKJ-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ZKJ,ZKJ-BSC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ZORA,ZORA-Base,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ZRO,ZRO-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ZRO,ZRO-Arbitrum One,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ZRX,ZRX-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
