coin,network,address,tag,url,full_response
WCT,ETH,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'WCT', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
WCT,OPTIMISM,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://optimistic.etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'WCT', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://optimistic.etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
WCT,SOL,3Gr1Q13eG8yHjWXGMo7ehduuYr4LmevPa33qFaYXgyWQ,,https://solscan.io/account/3Gr1Q13eG8yHjWXGMo7ehduuYr4LmevPa33qFaYXgyWQ,"{'coin': 'WCT', 'address': '3Gr1Q13eG8yHjWXGMo7ehduuYr4LmevPa33qFaYXgyWQ', 'tag': '', 'url': 'https://solscan.io/account/3Gr1Q13eG8yHjWXGMo7ehduuYr4LmevPa33qFaYXgyWQ', 'isDefault': 0}"
COMP,BSC,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'COMP', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
COMP,ETH,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'COMP', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
HAEDAL,BSC,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'HAEDAL', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
HAEDAL,SUI,0x437e69514f25822d1a9e597419d05fb5e0d23f049455c23c8bd46344d26a940c,,https://suiscan.xyz/mainnet/account/0x437e69514f25822d1a9e597419d05fb5e0d23f049455c23c8bd46344d26a940c,"{'coin': 'HAEDAL', 'address': '0x437e69514f25822d1a9e597419d05fb5e0d23f049455c23c8bd46344d26a940c', 'tag': '', 'url': 'https://suiscan.xyz/mainnet/account/0x437e69514f25822d1a9e597419d05fb5e0d23f049455c23c8bd46344d26a940c', 'isDefault': 0}"
HFT,BSC,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'HFT', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
HFT,ARBITRUM,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://arbiscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'HFT', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://arbiscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
HFT,ETH,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'HFT', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
HFT,SOL,3Gr1Q13eG8yHjWXGMo7ehduuYr4LmevPa33qFaYXgyWQ,,https://solscan.io/account/3Gr1Q13eG8yHjWXGMo7ehduuYr4LmevPa33qFaYXgyWQ,"{'coin': 'HFT', 'address': '3Gr1Q13eG8yHjWXGMo7ehduuYr4LmevPa33qFaYXgyWQ', 'tag': '', 'url': 'https://solscan.io/account/3Gr1Q13eG8yHjWXGMo7ehduuYr4LmevPa33qFaYXgyWQ', 'isDefault': 0}"
RUNE,RUNE,thor1uz4fpyd5f5d6p9pzk8lxyj4qxnwq6f9utg0e7k,100376229,https://viewblock.io/thorchain/address/thor1uz4fpyd5f5d6p9pzk8lxyj4qxnwq6f9utg0e7k,"{'coin': 'RUNE', 'address': 'thor1uz4fpyd5f5d6p9pzk8lxyj4qxnwq6f9utg0e7k', 'tag': '100376229', 'url': 'https://viewblock.io/thorchain/address/thor1uz4fpyd5f5d6p9pzk8lxyj4qxnwq6f9utg0e7k', 'isDefault': 0}"
PENGU,SOL,3Gr1Q13eG8yHjWXGMo7ehduuYr4LmevPa33qFaYXgyWQ,,https://solscan.io/account/3Gr1Q13eG8yHjWXGMo7ehduuYr4LmevPa33qFaYXgyWQ,"{'coin': 'PENGU', 'address': '3Gr1Q13eG8yHjWXGMo7ehduuYr4LmevPa33qFaYXgyWQ', 'tag': '', 'url': 'https://solscan.io/account/3Gr1Q13eG8yHjWXGMo7ehduuYr4LmevPa33qFaYXgyWQ', 'isDefault': 0}"
BANANAS31,BSC,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'BANANAS31', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
FORTH,ETH,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'FORTH', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
GHST,ETH,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'GHST', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
ALPINE,BSC,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'ALPINE', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
