coin,network,address,tag,url,full_response
HEMI,HEMI,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://explorer.hemi.xyz/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'HEMI', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://explorer.hemi.xyz/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
LRC,BSC,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'LRC', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
LRC,ETH,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'LRC', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
DASH,DASH,XjNKHVMPQxGGG6iNs1hd2fv2PxqX2w7XQ6,,https://chainz.cryptoid.info/dash/address.dws?XjNKHVMPQxGGG6iNs1hd2fv2PxqX2w7XQ6,"{'coin': 'DASH', 'address': 'XjNKHVMPQxGGG6iNs1hd2fv2PxqX2w7XQ6', 'tag': '', 'url': 'https://chainz.cryptoid.info/dash/address.dws?XjNKHVMPQxGGG6iNs1hd2fv2PxqX2w7XQ6', 'isDefault': 0}"
SAGA,SAGA,saga19n8fftnmdauylv9p5u2jvj5j9fqd365dt2v6cu,102178341,https://explore.omnistake.com/saga/account/saga19n8fftnmdauylv9p5u2jvj5j9fqd365dt2v6cu,"{'coin': 'SAGA', 'address': 'saga19n8fftnmdauylv9p5u2jvj5j9fqd365dt2v6cu', 'tag': '102178341', 'url': 'https://explore.omnistake.com/saga/account/saga19n8fftnmdauylv9p5u2jvj5j9fqd365dt2v6cu', 'isDefault': 0}"
JOE,AVAXC,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://snowtrace.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'JOE', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://snowtrace.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
JOE,ARBITRUM,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://arbiscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'JOE', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://arbiscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
LSK,ETH,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'LSK', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
DCR,DCR,DsjCM9phtYg3Rn5cooCc5ZwQM1v88ZE2GQu,,https://explorer.dcrdata.org/address/DsjCM9phtYg3Rn5cooCc5ZwQM1v88ZE2GQu,"{'coin': 'DCR', 'address': 'DsjCM9phtYg3Rn5cooCc5ZwQM1v88ZE2GQu', 'tag': '', 'url': 'https://explorer.dcrdata.org/address/DsjCM9phtYg3Rn5cooCc5ZwQM1v88ZE2GQu', 'isDefault': 0}"
DATA,ETH,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'DATA', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
