currency,net_type,deposit_address,secondary_address
GTC,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
HAEDAL,SUI,0x0c1ae9196dd63019c73ef9e23b0f0bd6a34468a5e41c6ca26403414583c995af,
HBAR,HBAR,0.0.10160606,0481e323a35ce145
HBD,HIVE,upbitsusers,3bb9ddee-9ab1-4d0f-b491-5666a0e4887c
HIVE,HIVE,upbitsusers,3bb9ddee-9ab1-4d0f-b491-5666a0e4887c
HOLO,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
HP,HP,hippo1dyhpldh3a6ku5zud76tfw69d5kegedhkz4mea9,ca538e0a4a989157
HUMA,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
HUNT,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
HYPER,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ICX,ICX,hx9f0472b953ffcfebdbd0af3bf10580b0afbcdb29,
ID,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
IMX,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
IN,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
INIT,INIT,init1jpskehhsswr4tmajyn3f8fawzkhgqwjm6yyhvg,03250b5b04c4c4a3
INJ,INJ,inj1e0v48wtvhfkx63wy54ju3xryumfxx0zxu3sfc9,5c28855b95c5cba2
INTER,CHZ,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
IO,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
IOST,IOST,user_upbit,176163ebfed3058c
IOTA,IOTA,0x860f388cd794921c8015aad98334c634084bffb9880621efaff4ea159a70140a,
IOTX,IOTX,io1uan6geyj92dzup0ezxfmgqv66a6pgrznndwjqd,
IP,IP,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
IQ,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
JASMY,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
JST,TRX,TFx22vUvrDsrJBMmsPpba25ktMnwsEHGYr,
JTO,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
JUP,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
JUV,CHZ,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
KAITO,BASENET,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
KAVA,KAVA,kava17gjz6qf30slgfuvrg6ut2uygcw2xkwn0r3jj6e,389f0354aef19cca
KERNEL,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
KITE,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
KNC,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
LA,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
LAYER,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
LINEA,LINEANET,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
LINK,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
LPT,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
LRC,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
LSK,LISK,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
LWA,SUI,0x0c1ae9196dd63019c73ef9e23b0f0bd6a34468a5e41c6ca26403414583c995af,
MAGIC,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
MANA,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
MASK,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
MBL,ONT,ANLTkRyDdvG69E7FRF8YoBgAMzTqAuo5aE,
ME,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
MED,MED,panacea1fxqq357hfct6z0w8tjzny09mdr2jsvjcw4g30g,45920b8d387519aa
MET2,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
META,META,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
MEW,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
MINA,MINA,B62qmPeV8AgLdbn5zBcGDb4Kb3C6GqwqfccanCfvbtAcZtG23eJ3Lh8,
MIRA,BASENET,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
MLK,ARBITRUM,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
MMT,SUI,0x0c1ae9196dd63019c73ef9e23b0f0bd6a34468a5e41c6ca26403414583c995af,
MNT,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
MOC,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
MOCA,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
MON,MON,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
MOODENG,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
MOVE,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
